gene,LJP005_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h,LJP005_HA1E_24H_G14___HA1E___withaferin-a___3_33_um___24_h,LJP005_HA1E_24H_G15___HA1E___withaferin-a___1_11_um___24_h,LJP005_HA1E_24H_G16___HA1E___withaferin-a___0_37_um___24_h,LJP005_HA1E_24H_G17___HA1E___withaferin-a___0_12_um___24_h,LJP005_HA1E_24H_G18___HA1E___withaferin-a___0_04_um___24_h,LJP006_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h,LJP006_HA1E_24H_G14___HA1E___withaferin-a___3_33_um___24_h,LJP006_HA1E_24H_G15___HA1E___withaferin-a___1_11_um___24_h,LJP006_HA1E_24H_G16___HA1E___withaferin-a___0_37_um___24_h,LJP006_HA1E_24H_G17___HA1E___withaferin-a___0_12_um___24_h,LJP006_HA1E_24H_G18___HA1E___withaferin-a___0_04_um___24_h
APP,1.61317777633667,0.40463024377822876,-0.08608149737119675,-0.6236133575439453,-0.6666382551193237,-0.5154768228530884,2.8728342056274414,-0.19450709223747253,-1.5435500144958496,-1.2331632375717163,-0.3752632439136505,-1.257608413696289
PRKAR1A,-2.801178216934204,-0.019578173756599426,-1.2882682085037231,0.7652851343154907,0.32556936144828796,0.1311645209789276,-6.057567119598389,-2.339088201522827,-0.4896000027656555,-0.5050738453865051,-0.13437047600746155,0.021139919757843018
DSP,0.3512067496776581,0.502877950668335,1.5506372451782227,0.2918843626976013,-0.8181919455528259,-0.9267982244491577,0.8837599754333496,-0.49347302317619324,0.054549992084503174,0.23512613773345947,-0.7508902549743652,-0.9233587980270386
RAD21,-0.6255623698234558,-0.24862004816532135,-0.5521619915962219,0.5939478874206543,-0.15401716530323029,0.2899647653102875,-0.2674124240875244,-1.75323486328125,-0.7792500257492065,-0.8718215227127075,-0.12832793593406677,-0.7433505654335022
NCL,-1.2529982328414917,0.4492264986038208,0.7321506142616272,0.7433257102966309,-9.490400552749634e-4,0.18756753206253052,-1.1468583345413208,0.15809805691242218,0.058949992060661316,0.9010802507400513,-0.25065967440605164,0.20850902795791626
WDR1,-3.480815887451172,-2.5747268199920654,0.2944124937057495,0.5422326326370239,0.22774305939674377,-0.38625651597976685,-5.685612678527832,-2.704911470413208,0.2224000096321106,0.5429642200469971,0.08534274995326996,0.284778356552124
AP2M1,-1.3658039569854736,-1.3900561332702637,-0.7640247344970703,0.1670873761177063,0.05038928985595703,0.23403313755989075,-3.168715000152588,-1.966872215270996,-0.1624000072479248,-0.2588305175304413,-0.053937144577503204,0.2993493676185608
CLTC,-6.152109622955322,-3.7859725952148438,0.830062210559845,0.4238056242465973,0.19652877748012543,-0.5588029623031616,-8.832082748413086,-5.035271644592285,1.0582499504089355,0.2917548716068268,-0.2399679720401764,-0.3962743878364563
AP2B1,-1.5114428997039795,-1.4182058572769165,-0.9928945302963257,0.561351478099823,0.14707668125629425,-0.03769227862358093,-1.1599783897399902,-1.0789563655853271,-0.843500018119812,0.09006047248840332,-0.6634021997451782,0.3790350556373596
MLEC,-6.4195780754089355,-5.815922737121582,-2.294863700866699,-0.21628504991531372,0.36090439558029175,0.05429898947477341,-10,-7.000628471374512,-1.6040500402450562,-0.397760272026062,-0.3761104941368103,-0.6299236416816711
