rxn	rxn_name	gene	equation	pathway
NDPK1m	Nucleoside-diphosphate kinase (ATP:GDP), mitochondrial	Nme4	NDPK1m: atp_m + gdp_m <=> adp_m + gtp_m	Nucleotides
NDPK1n	Nucleoside-diphosphate kinase (ATP:GDP), nuclear	Nme1	NDPK1n: atp_n + gdp_n <=> adp_n + gtp_n	Nucleotides
NDPK1n	Nucleoside-diphosphate kinase (ATP:GDP), nuclear	Nme2	NDPK1n: atp_n + gdp_n <=> adp_n + gtp_n	Nucleotides
NDPK2	Nucleoside-diphosphate kinase (ATP:UDP)	Nme1	NDPK2: atp_c + udp_c <=> adp_c + utp_c	Nucleotides
NDPK2	Nucleoside-diphosphate kinase (ATP:UDP)	Nme2	NDPK2: atp_c + udp_c <=> adp_c + utp_c	Nucleotides
NDPK2	Nucleoside-diphosphate kinase (ATP:UDP)	Nme3	NDPK2: atp_c + udp_c <=> adp_c + utp_c	Nucleotides
NDPK2	Nucleoside-diphosphate kinase (ATP:UDP)	Nme6	NDPK2: atp_c + udp_c <=> adp_c + utp_c	Nucleotides
NDPK2	Nucleoside-diphosphate kinase (ATP:UDP)	Nme7	NDPK2: atp_c + udp_c <=> adp_c + utp_c	Nucleotides
NDPK2m	ATP:UDP phosphotransferase, mitochondria	Nme4	NDPK2m: atp_m + udp_m <=> adp_m + utp_m	Nucleotides
NDPK2n	Nucleoside-diphosphate kinase (ATP:UDP), nuclear	Nme1	NDPK2n: atp_n + udp_n <=> adp_n + utp_n	Nucleotides
NDPK2n	Nucleoside-diphosphate kinase (ATP:UDP), nuclear	Nme2	NDPK2n: atp_n + udp_n <=> adp_n + utp_n	Nucleotides
NDPK3	Nucleoside-diphosphate kinase (ATP:CDP)	Nme1	NDPK3: atp_c + cdp_c <=> adp_c + ctp_c	Nucleotides
NDPK3	Nucleoside-diphosphate kinase (ATP:CDP)	Nme2	NDPK3: atp_c + cdp_c <=> adp_c + ctp_c	Nucleotides
NDPK3	Nucleoside-diphosphate kinase (ATP:CDP)	Nme3	NDPK3: atp_c + cdp_c <=> adp_c + ctp_c	Nucleotides
NDPK3	Nucleoside-diphosphate kinase (ATP:CDP)	Nme6	NDPK3: atp_c + cdp_c <=> adp_c + ctp_c	Nucleotides
NDPK3	Nucleoside-diphosphate kinase (ATP:CDP)	Nme7	NDPK3: atp_c + cdp_c <=> adp_c + ctp_c	Nucleotides
NDPK3m	ATP:CDP phosphotransferase, mitochondria	Nme4	NDPK3m: atp_m + cdp_m <=> adp_m + ctp_m	Nucleotides
NDPK3n	Nucleoside-diphosphate kinase (ATP:CDP),nuclear	Nme1	NDPK3n: atp_n + cdp_n <=> adp_n + ctp_n	Nucleotides
NDPK3n	Nucleoside-diphosphate kinase (ATP:CDP),nuclear	Nme2	NDPK3n: atp_n + cdp_n <=> adp_n + ctp_n	Nucleotides
NDPK4	Nucleoside-diphosphate kinase (ATP:dTDP)	Nme1	NDPK4: atp_c + dtdp_c <=> adp_c + dttp_c	Nucleotides
NDPK4	Nucleoside-diphosphate kinase (ATP:dTDP)	Nme2	NDPK4: atp_c + dtdp_c <=> adp_c + dttp_c	Nucleotides
NDPK4	Nucleoside-diphosphate kinase (ATP:dTDP)	Nme3	NDPK4: atp_c + dtdp_c <=> adp_c + dttp_c	Nucleotides
NDPK4	Nucleoside-diphosphate kinase (ATP:dTDP)	Nme6	NDPK4: atp_c + dtdp_c <=> adp_c + dttp_c	Nucleotides
NDPK4	Nucleoside-diphosphate kinase (ATP:dTDP)	Nme7	NDPK4: atp_c + dtdp_c <=> adp_c + dttp_c	Nucleotides
NDPK4m	ATP:dTDP phosphotransferase, mitochondria	Nme4	NDPK4m: atp_m + dtdp_m <=> adp_m + dttp_m	Nucleotides
NDPK4n	Nucleoside-diphosphate kinase (ATP:dTDP), nuclear	Nme1	NDPK4n: atp_n + dtdp_n <=> adp_n + dttp_n	Nucleotides
NDPK4n	Nucleoside-diphosphate kinase (ATP:dTDP), nuclear	Nme2	NDPK4n: atp_n + dtdp_n <=> adp_n + dttp_n	Nucleotides
NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	Nme1	NDPK5: atp_c + dgdp_c <=> adp_c + dgtp_c	Nucleotides
NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	Nme2	NDPK5: atp_c + dgdp_c <=> adp_c + dgtp_c	Nucleotides
NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	Nme3	NDPK5: atp_c + dgdp_c <=> adp_c + dgtp_c	Nucleotides
NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	Nme6	NDPK5: atp_c + dgdp_c <=> adp_c + dgtp_c	Nucleotides
NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	Nme7	NDPK5: atp_c + dgdp_c <=> adp_c + dgtp_c	Nucleotides
NDPK5m	Nucleoside-diphosphate kinase (ATP:dGDP), mitochondrial	Nme4	NDPK5m: atp_m + dgdp_m <=> adp_m + dgtp_m	Nucleotides
NDPK5n	Nucleoside-diphosphate kinase (ATP:dGDP), nuclear	Nme1	NDPK5n: atp_n + dgdp_n <=> adp_n + dgtp_n	Nucleotides
NDPK5n	Nucleoside-diphosphate kinase (ATP:dGDP), nuclear	Nme2	NDPK5n: atp_n + dgdp_n <=> adp_n + dgtp_n	Nucleotides
NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	Nme1	NDPK6: atp_c + dudp_c <=> adp_c + dutp_c	Nucleotides
NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	Nme2	NDPK6: atp_c + dudp_c <=> adp_c + dutp_c	Nucleotides
NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	Nme3	NDPK6: atp_c + dudp_c <=> adp_c + dutp_c	Nucleotides
NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	Nme6	NDPK6: atp_c + dudp_c <=> adp_c + dutp_c	Nucleotides
NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	Nme7	NDPK6: atp_c + dudp_c <=> adp_c + dutp_c	Nucleotides
