gene	ActivatedMyeloidCells___aCTLA4	ActivatedMyeloidCells___aPD1	ActivatedMyeloidCells___aPD1aCTLA4	ActivatedMyeloidCells___Control	HighlyProliferativeTCells___aCTLA4	HighlyProliferativeTCells___aPD1	HighlyProliferativeTCells___aPD1aCTLA4	HighlyProliferativeTCells___Control	OtherMyeloidCells___aCTLA4	OtherMyeloidCells___aPD1	OtherMyeloidCells___aPD1aCTLA4	OtherMyeloidCells___Control
Slc5a3	0.0030707437955621616	0.011781060766711435	0.012520648233665136	0.02911832074156035	0.03224398477936613	0	0	0.032372203431138336	0.009347048340316766	0.019507803652306935	0.019694178641390035	0.014563040691682762
Smim11	0.7300677313564152	0.8202953824656546	0.7830222640592164	0.6375030074873671	0.8545771497144619	0.9068422583596617	0.8971331289234366	0.9438587786704715	0.7257055861849312	0.8016887749012697	0.7594458335881374	0.8420243514382599
Rcan1	0.04028774714598095	0.05951091225940821	0.05376086200561554	0.0772113502360641	0.020156344774659267	0.025811716539186763	0.015401861371294994	0.02031389232125099	0.08271730830207397	0.06014329367046873	0.08574365283870629	0.08029561988207473
Runx1	0.40495307394006164	0.35216340751001785	0.4080526108661594	0.2727110370971293	0.1802778682864321	0.20103871830916328	0.26975390404315513	0.18253705872693302	0.34011567150210736	0.4627617310175069	0.527615556336723	0.4446426645107919
Gm26626	0	0.0025578980217216703	0.006289914744389403	0.008790436005625879	0	0	0	0	0.0012020640882872797	0.0031737628830969832	0	0
Setd4	0.031238237036852	0.0363057787752123	0.009861803803628172	0.010214564448075118	0.048270723496113804	0.19547704325777085	0.10462833445336142	0.031075059303449663	0.01998078789998366	0.02471969919973003	0.007095956732067985	0.017565646331258164
Cbr1	0.09115329823968608	0.12767377166252575	0.1008970027857634	0.09716342562029454	0.12811901662144437	0.11154870576447497	0.11292236404332157	0.19289593537815677	0.08889355483486311	0.07803800830630832	0.056371332724913875	0.1369375703674398
Cbr3	0.11490471923174389	0.12764691497521666	0.1173227990569985	0.17540308284360887	0	0	0.021822188147186318	0	0.15492389967963902	0.15258672853459795	0.2231260422538151	0.13650189655055317
Dopey2	0.26141575096634334	0.06970479628168867	0.17231264275477193	0.09950716190640711	0.05859958589386386	0.008590091158047368	0.17294362412578823	0.0531984966983863	0.07602059802694018	0.07884272099968681	0.07810453587389585	0.19000419647326305
Morc3	0.48417653601904165	0.5191631797182098	0.48525098805346956	0.5514672742719795	0.34430493359503106	0.5628836129945869	0.7514195561171276	0.4443314572212645	0.5144126451575503	0.6096390663701644	0.38125566385669885	0.5387960574749138
Chaf1b	0.0402664283175373	0.019100766092992057	0.04708191592963257	0.00890567113137646	0.4081107012771213	0.32588409616073716	0.3946825373100744	0.4604677244964479	0.035760049977337505	0.03183711284132775	0.010603174230317768	0.07465757187415521
Hlcs	0.031948424815160345	0.008531114120733702	0.010145648039138836	0.04537989152824564	0.005707280435214377	0.03990287969911225	0.009332676312920903	0.01737921445950643	0.019040215835028244	0.026650002498496018	0.02217981201000268	0.024444509301019247
Ripply3	0.030705931573933996	0.021884634401226514	0.01847468858947354	0.0072304488662656196	0.005310550364197544	0.014874312063067082	0.01872322578712441	0	0.013410460276787191	0.017325887284959842	0.0020562660183122824	0.013927058245922809
Pigp	0.11144450726766927	0.11043453266924078	0.06834513093288234	0.17892056012451787	0.2654416926420424	0.15167513634177443	0.22368157891891383	0.25584498070684164	0.1293107945920529	0.11855249376798913	0.11699422073066183	0.1720298709293355
Ttc3	0.056240765227164355	0.052509353111524854	0.07830306534228586	0.0964250368659366	0.21870217222091626	0.19971451307414526	0.22098780709716745	0.23178460541507986	0.10339924230975114	0.06649120640304715	0.09864551909118711	0.07273678743729978
Dscr3	0.2527921915611949	0.3118209374706187	0.32592324281282364	0.26510700669772425	0.2395980547343572	0.24540664221738806	0.2650529794166511	0.2857335105960461	0.275016540556502	0.2905158674553278	0.31031394355208003	0.2184898421659144
Dyrk1a	0.11025634784089033	0.10830448981141176	0.15503305929422057	0.19933303086226145	0.1828786742794944	0.08951391035868926	0.22658942487714223	0.17449834107498094	0.08755798021479314	0.10094176743307637	0.1386564875450963	0.10408520043729988
Erg	0.003683783982907243	0	0.002531389226407453	0	0	0	0	0	0	0	0.006186954929270731	0.0011182992904391
Ets2	0.8246092457769557	0.6267182751253533	0.7311161745310691	0.6648726624123182	0.12451707659075514	0.06544462413513372	0.10149651022677489	0.14156732341348036	0.5663247366415257	0.4199378862154879	0.7275025520218705	0.6624391966867207
1600002D24Rik	0.005563839494358266	0.0019213107950768332	0.0011961722488038277	0	0.009904952079841841	0	0	0	0	0	0.03374169180188804	0.0026940662224679965
Gm15340	0	0	0	0	0	0	0	0	0	0	0.018333540849599372	0
Psmg1	0.13998846795804157	0.15582919799682277	0.16893201203237512	0.1093781632919483	0.2892133686852854	0.2684098311549126	0.32614850515951527	0.18412689423422066	0.2341420745062101	0.22871715380987892	0.14219579666017101	0.33271866771724123
Brwd1	0.08574651605714972	0.13007201748309183	0.1528144344651579	0.13215095068378155	0.13188044049114156	0.043937040036861726	0.07300080175451468	0.08459402526166425	0.08125652323012404	0.1292259959113395	0.12221667204710668	0.1325219931783571
Hmgn1	0.37192772069841895	0.3435067022508993	0.40021642331535207	0.5498425143926096	1.6816409177203866	1.5562474760647125	1.4346531373161124	1.8552703843416667	0.6633828252797458	0.4508496599308984	0.7937890850326079	1.0409803609342774
Wrb	0.015430551850677661	0.01961796757145432	0.02575859248335032	0.0363305299616935	0.01757052478838912	0.04810762458404127	0.006852619345218517	0	0.012865681416783917	0.008956813342000939	0.18494703061056184	0.027850670231506183
Lca5l	0	0	0.0036808009422850414	0	0.010676072998716734	0	0.013021647186282475	0	0	0.0019119793536821472	0	0.006656308693640685
Sh3bgr	0	0	9.605040725372676e-4	0	0	0	0	0	0.025289167022745238	0.045244162542781206	0.07273053304533778	0.03639572568191486
B3galt5	0	0	0	0	0	0	0	0	0	0	0	0
Igsf5	0	0	0	0	0.005128983681625518	0	0.005024560049522065	0.015270439483248327	0.0029416886704979215	0	0	0
Dscam	0	0	0	0	0.011587115077363468	0.04616128743078131	0	0	0	0.0011572338223340573	0	0.0011124905994544343
Bace2	0	0	0.0012420508744038158	0	0.05501446806034225	0	0.013961488629763657	0	0.0020855173876566046	0.0011254075382047726	0	0.0012084586738215397
Mx1	0.14340544439740263	0.7844439471322576	0.05660300705716234	0.22822149995767985	0.04188022289174897	0.09336578601986553	0.041084226827485214	0.008800663217980105	0.060344481969780414	0.09205421139938573	0.07047583861281483	0.04660566390768434
Gm9242	0.003870608877159997	0.00437790035898783	0.005647275109070967	0	0.010014501346191737	0.04293252397983662	0.020391321859363706	0	0.0039504144599591855	0.007026977848011745	0.00529652583721866	0.0028414416459683223
Prdm15	0.014540323487493397	0.13024161172581938	0.02899757042242173	0.06038271167870861	0.032390059559858866	0.09748028461482708	0.029911869354627252	0.07601476037688669	0.008418279407989223	0.009781800744545335	0.029865213970879507	0.018143988995766636
C2cd2	0.01229850288932962	0.027883121848726003	0.03624014570745597	0.0238825513021357	0.04350321821349158	0.07973633734891768	0.05160004402437434	0.03267831698194043	0.02032701539922964	0.027145275028550575	0.03828847892011997	0.035418059398651135
Zbtb21	0.0417567317845987	0.031220096073559845	0.04009220057728876	0.05261183627977194	0.034387828679665236	0.010347853441282142	0.013847346848343852	0	0.05304306021936707	0.03929490931079658	0.043327111546550376	0.03271068000741099
C030010L15Rik	0	0.0020205693964559213	0	0.020709078860172304	0	0	0	0	0	0	0.005958165552832857	0
B230307C23Rik	0.0812493995995797	0.10342156462545603	0.13227129675815916	0.07400946157685918	0.19032821326075824	0.09982052463570577	0.15380484276532663	0.11194991396153858	0.0647292659305219	0.10442406128038324	0.07262862664100345	0.07913975385818878
Scaf8	0.07611541892464872	0.05535143034042529	0.05313306424694694	0.07180739581325617	0.14341657549263334	0.07459050035540091	0.20145346854799462	0.14903168824962032	0.0634007213518566	0.0715283915377767	0.10501620327783193	0.08859709248641941
Tiam2	0.006121872668152672	0.01374959798344455	0	0.008023106546854944	0.011446231328335145	0	0.0058856211920030885	0	0.009119977818833776	0.001064270440484507	0.013019091620763456	0.0014291001956438167
Tfb1m	0.013009019171130362	0.017352738137921816	0.020714652643114465	0.008439103429651634	0.029355239729847334	0.008979981824516786	0	0.039319456733121615	0.035337197231726174	0.0313235417970526	0.0261976116037842	0.02313505009371912
Arid1b	0.0963635794839206	0.07121078587439392	0.09024480751781315	0.09805469624901957	0.08684413647127984	0.05265030796927736	0.09145563859756989	0.03229772992218804	0.1377986381179131	0.07051528057814613	0.06908992739636416	0.08858209537386989
Tmem242	0.36261620671246286	0.43532091950888374	0.36071681062122085	0.4713684583154126	0.5417378217199621	0.5067343485897653	0.48020405284930784	1.0243960699895776	0.4827692851382112	0.427919303380196	0.3584152929091617	0.5415926846274884
Zdhhc14	0.03162058602121501	0.08314959085399794	0.02681314661616208	0.03771351174820944	0	0	0	0	0.032596160920063455	0.009189287434780176	0.011053831925276411	0.042940875841732326
3300005D01Rik	0	0.004337147141819575	0	0	0.005707280435214377	0	0	0	0.005758599915711291	0	0.007684972926804902	0.00728504282048745
Snx9	0.16272045812331729	0.18167521517322022	0.1756154315068592	0.16377707669081815	0.18360266340425083	0.17232578170331367	0.18352926678353304	0.2151757428246092	0.1406523869450746	0.38828905428616556	0.21595711129438608	0.22625255514684275
Synj2	0.025069061690030252	0.012883153232557547	0.030956716794481084	0.047432797225469676	0.020566005810060854	0	0.010130480589999187	0.006460674520262614	0.03259925351162243	0.03318127543195634	0.028997709992555683	0.036971542452940875
Serac1	0.006848101970454228	0.008474279978679946	0.009995911989806292	0	0	0	0.013872242198250988	0	0.0030887317250126783	0	0.0014201624438609788	0.002801780521682754
Gtf2h5	1.19479032089294	1.1922912293713046	1.33231867376327	1.1555377701765301	1.5412340371756426	1.5322686554995446	2.488201826465617	1.614793039215048	1.0118599689624708	1.1320259550423672	1.0763516828985524	1.2231742525050893
Tulp4	0.10516547120594438	0.15964333192934485	0.20722045701594657	0.13414555828868535	0.1955941836139331	0.2675476857508952	0.17034313630872142	0.22070149124519267	0.12997234641723632	0.10851982184916732	0.10469511098627694	0.1642464745456579
Tmem181a	0.08814527104920544	0.08978240181249995	0.14499939694936065	0.10856301926559025	0.13317590197908655	0.10831510867223225	0.08369943387001734	0.049762099509106227	0.1255952952453158	0.1002618211208368	0.08464516996111814	0.10382642116581492
Dynlt1a	0.24441601053619477	0.3834531125181413	0.2775627005297004	0.3742749163960126	0.43789042874977363	0.28376821728512225	0.29979474027107045	0.3674365962733716	0.35526233873453095	0.3664635628933059	0.37491557226397515	0.44389870923816976
Gm26848	0	0	0.0017502100252030244	0	0.006462787270894191	0.03586080270820782	0	0	0	0.0021262855328394222	0.004053059411366076	0.0021634204542750274
